Faction,Games,VP,Opp VP,Win %,Wins,Losses,Draws,Real Win %
Adepta Sororitas,1915.0,64.02,61.04,48.93,937.0,945.0,33.0,48.92
Adeptus Custodes,3524.0,65.93,63.0,50.82,1791.0,1691.0,42.0,50.85
Adeptus Mechanicus,1006.0,65.47,62.95,46.72,470.0,513.0,23.0,46.71
Aeldari,2861.0,61.42,65.28,46.59,1333.0,1492.0,36.0,46.5
Astra Militarum,3138.0,58.59,66.32,44.46,1395.0,1694.0,49.0,44.33
Black Templars,1276.0,59.26,61.7,45.53,581.0,671.0,24.0,45.44
Blood Angels,3434.0,62.31,68.77,48.72,1673.0,1691.0,70.0,48.68
Chaos Daemons,1923.0,67.06,64.28,51.74,995.0,882.0,46.0,51.85
Chaos Knights,3061.0,65.03,62.34,58.71,1797.0,1226.0,38.0,59.05
Chaos Space Marines,2748.0,62.08,65.9,46.36,1274.0,1432.0,42.0,46.28
Dark Angels,3873.0,65.27,64.41,47.87,1854.0,1950.0,69.0,47.85
Death Guard,5827.0,69.86,66.27,57.99,3379.0,2359.0,89.0,58.37
Deathwatch,486.0,60.22,60.15,43.83,213.0,265.0,8.0,43.83
Drukhari,1188.0,69.51,61.74,52.86,628.0,544.0,16.0,52.89
Emperor's Children,2919.0,57.35,61.8,46.83,1367.0,1509.0,43.0,46.8
Genestealer Cults,996.0,66.98,64.34,51.71,515.0,465.0,16.0,51.73
Grey Knights,1392.0,63.79,63.83,42.82,596.0,770.0,26.0,42.74
Imperial Agents,158.0,53.28,70.97,32.91,52.0,105.0,1.0,32.69
Imperial Knights,3364.0,63.83,60.1,60.05,2020.0,1298.0,46.0,60.4
Leagues Of Votann,1492.0,67.48,62.7,50.2,749.0,724.0,19.0,50.2
Necrons,4117.0,62.26,70.19,48.53,1998.0,2047.0,72.0,48.54
Orks,2337.0,60.56,65.21,43.13,1008.0,1296.0,33.0,42.93
Space Marines,4852.0,59.6,62.15,43.61,2116.0,2662.0,74.0,43.26
Space Wolves,1871.0,60.43,65.64,46.18,864.0,982.0,25.0,46.12
T'au,3391.0,66.15,64.98,42.52,1442.0,1879.0,70.0,42.36
Thousand Sons,3451.0,62.99,60.6,49.9,1722.0,1675.0,54.0,49.93
Tyranids,4400.0,61.44,64.72,48.07,2115.0,2207.0,78.0,48.0
World Eaters,3896.0,63.81,65.54,50.59,1971.0,1881.0,44.0,50.61
